number,question,optionA,optionB,optionC,optionD,optionE,optionF,answer,explanation
QUESTION NO: 56,"DreamHouse Realty is building a custom Lightning app to track its expanding solar water
collection business. The Lightning app currently contains a custom Lightning record page
with standard components.
From which two resources should an app builder get custom components to bring into the
new Lightning app?
Choose 2 answers",A. AppExchange,B. Apex Code,C. Import Wizard,,,,"A,B","AppExchange and Apex Code are two resources that can provide custom components for a
Lightning app. AppExchange is a marketplace where developers can publish and sell their
custom components or apps. Apex Code is a programming language that can be used to
create custom components or logic for a Lightning app. Import Wizard and Visualforce are
not resources for custom components, but tools for data import and web page development
respectively."
QUESTION NO: 57,"An app builder created multiple custom fields, page layouts, and reports in the sandbox and
added them to a change set was deployed to production, the reports were NOT deployed.
What should the app builder do?",A. Move the reports to the Untried Public Reports folder and add them to a new change set.,B. Move the reports from the Unfiled Public Reports folder and add them to a new change set,C. Recreate the reports in production. Reports are not supported in change sets,,,,B,"Moving the reports from the Unfiled Public Reports folder and adding them to a new change
set is what the app builder should do to deploy the reports to production. According to the
Salesforce documentation, ""Reports in the Unfiled Public Reports folder aren't available for
deployment."" Moving the reports to the Untried Public Reports folder, recreating the reports in
production, and adding the reports to an unmanaged package are not necessary or
recommended actions."
QUESTION NO: 58,"DreamHouse Realty is rethinking its sandbox utilization strategy after acquiring Cloud Kicks.
The Salesforce COE already utilizes a partial and a full sandbox, which it refreshes on their
own regular schedules. Teams are expanding and have to begin each of their small projects
in a sandbox before committing to the larger pool for collaborative testing while still keeping
costs down.
What type of sandbox should each team member use?",A. Full sandbox,B. Developer sandbox,C. Developer pro sandbox,,,,B,"The best type of sandbox for each team member to use is a developer sandbox. A developer
sandbox is a copy of production that includes only the metadata, such as objects, fields,
layouts, etc. It does not include any data, such as records or attachments. A developer
sandbox is ideal for small projects that do not require data testing, such as developing new
features or customizations. A developer sandbox has a storage limit of 200 MB and can be
refreshed once per day. A developer sandbox is also cheaper than other types of sandboxes.
A full sandbox is a copy of production that includes all the metadata and data. It is ideal for
large projects that require data testing, such as performance testing or integration testing. A
full sandbox has the same storage limit as production and can be refreshed every 29 days. A
full sandbox is also the most expensive type of sandbox. A developer pro sandbox is similar
to a developer sandbox, but it has a larger storage limit of 1 GB and can be refreshed every 5
days. It is ideal for projects that require some data testing, such as data migration or quality
assurance testing. A partial sandbox is similar to a full sandbox, but it has a smaller storage
limit of 5 GB and can be refreshed every 5 days. It is ideal for projects that require selective
data testing, such as user acceptance testing or staging testing"
QUESTION NO: 59,"Cloud Kicks wants to start tracking how many shoe subscriptions have been sold for each
shoe catalog. A master-detail relationship exists between the Subscription__c and the
Shoe__c objects.
Which type of field should an app builder create?",A. Roll-up summary field,B. Lookup field,C. Master-detail relationship field,,,,A,"To start tracking how many shoe subscriptions have been sold for each shoe catalog, a roll-
up summary field should be created. A roll-up summary field calculates values from related
records on a master-detail relationship. It can count, sum, min, or max numeric values from
child records on a parent record."
QUESTION NO: 60,"DreamHouse Realty (DR) has many properties for sale and wants to identify the highest
value of all Offer__c records on each Property__c record.
What solution should the app builder use to meet DreamHouse Realty's needs?",A. Master-Detail Child Object,B. Text Area (Long),C. Multi-select Picklist,,,,A,"The solution that the app builder should use to meet DreamHouse Realty's needs is Master-
Detail Child Object. A master-detail relationship can be used to create a parent-child
relationship between two objects, where the child records inherit the sharing and security
settings of their parent record. The app builder can create a roll-up summary field on the
parent object to calculate the highest value of all child records. Option B is incorrect because
Text Area (Long) is a field type that allows users to enter up to 131,072 characters on one
line, which is not suitable for this requirement. Option C is incorrect because Multi-select
Picklist is a field type that allows users to select multiple values from a predefined list, which
is not suitable for this requirement. Option D is incorrect because Lookup Object is not a valid
term, but rather Lookup Relationship, which is a type of relationship that links two objects
together, but does not support roll-up summary fields."
QUESTION NO: 61,"When an opportunity close date is delayed by more than 60 days, the manager and the VP
sales must approve the change. How can this requirement be met? Choose 2 answers",A. Build an approval process that requires unanimous approval from the manager and VP of sales.,B. Create a workflow rule that checks for close date less than 60 days and add an email alert .,C. Create a lightning process builder flow that submits the record for an approval process,,,,"A,C","The requirement can be met by using a combination of process builder and approval
process. The process builder can be used to trigger the approval process when the close
date is delayed by more than 60 days. The approval process can be configured to require
unanimous approval from the manager and VP of sales."
QUESTION NO: 62,"Which two report formats can be used as a source report to configure a reporting snapshot?
Choose 2 answers",A. Tabular format,B. Summary format,C. Joined format,,,,"B,D","For reporting snapshots, the source report must be capable of grouping data, which is
necessary for summarizing information at specific intervals. The acceptable formats for a
source report in reporting snapshots are:
Summary format (B). This format groups rows of data by one or more criteria and can
perform calculations such as sum, average, etc., on another column at each group level.
Matrix format (D). Similar to the summary format but arranges data in a grid format, allowing
summarization by both rows and columns.
Tabular (A) and joined (C) formats are not suitable for reporting snapshots. Tabular reports
do not include grouped or summarized data, and joined reports involve combining multiple
report types, which are not compatible with how reporting snapshots need to structure data.
Reference for more information on reporting snapshots and report formats:
Reporting Snapshots:
https://help.salesforce.com/articleView?id=reports_snapshots.htm&type=5 Report Formats:
https://help.salesforce.com/articleView?id=reports_understanding_formats.htm&type=5"
QUESTION NO: 63,"Universal Containers has a private sharing model for Accounts and Opportunities and uses
Territory Management to grant access to records.
* Sales rep A manually shares an opportunity record with sales rep B.
* Sales rep B has access to the Account even though the Account Is NOT In sales rep B's
territory.
* Sales rep C CANNOT see either record.
Based on the information given, why can sales rep B see the Account related to the
Opportunity?",A. Sales rep B has implicit access to the Account.,B. Sales rep B was added to the Account team.,C. Sharing set is granting access to the Account.,,,,A,"Sales rep B has implicit access to the Account because of the manual sharing of the
Opportunity. Implicit sharing grants access to parent records when a user has access to a
child record. Sales rep B was not added to the Account team, sharing set is not applicable for
private sharing model, and Account was not manually shared."
QUESTION NO: 64,"An app builder has created a custom Lightning App and wants to make it available to the
internal users at Universal Containers.
Which two steps are necessary to accomplish this task?
Choose 2 answers",A. Add the app to a Visualforce page.,B. Upload the app to Static Resources.,C. Create a subdomain using My Domain.,,,,"C,D","The app builder needs to do two steps to make the custom Lightning App available to the
internal users at Universal Containers:
Create a subdomain using My Domain: My Domain is a feature that allows an organization to
set up a custom domain name for their Salesforce instance. This is required to use custom
Lightning components and apps in Salesforce1.
Build a Custom Tab for the app: A custom tab is a tab that displays any custom object or web
page in Salesforce. This is required to make the custom Lightning App accessible from the
navigation menu or app launcher2. Option A and B are not necessary steps to make the
custom Lightning App available to the internal users."
QUESTION NO: 65,"Universal Containers has a custom object that holds over 100 fields. The app builder wants
to break up the fields into separate tabs on the lightning page.
Which Lightning component is most appropriate to fulfill this requirement?",A. Highlights panel,B. Record detail,C. Field section,,,,D,"The ""Accordion"" Lightning component is designed to break up content into collapsible
sections. This component would be suitable for managing the visibility of large numbers of
fields by grouping them into separate tabs or sections that can expand and collapse. This
makes navigation easier and declutters the interface.
A: Highlights panel is used for displaying key record information at the top of the page and is
not designed for managing multiple fields.
B: Record detail displays all fields on a single layout, which does not suit the requirement to
break up the fields.
C: Field section does not exist as a standard Lightning component. Reference: Accordion
Component in the Lightning Component Library"
QUESTION NO: 66,"Northern Trail Outfitters wants to initiate a daily backup of its Salesforce org.
Which tool should an app builder recommend for this task?",A. Report export,B. Refresh full copy sandbox,C. AppExchange package,,,,D,"Data Export Service is the appropriate tool for initiating scheduled or immediate backups of
Salesforce data.
References:
Salesforce Help - Data Export Service"
QUESTION NO: 67,"The Service Manager provided the app builder with color code requirements for case age on
open cases.
New cases populate a green circle
Day-old cases populate a yellow circle
Three-day-old cases populate a red circle
How should an app builder implement this requirement?",A. Formula Field,B. Quick Action,C. Custom Button,,,,A,"A formula field is a read-only field that derives its value from a formula expression you define.
The formula field is updated when any of the source fields change. You can use formula
fields to display images based on certain conditions. In this case, a formula field can be used
to display a green, yellow, or red circle image based on the case age."
QUESTION NO: 68,"Duplicate management for Leads has been implemented at Universal Containers but it
seems duplicate leads are still being created. The Org Wide Default (OWD) is set to ""Private""
for Leads.
Which two actions help prevent duplicate Leads from being created?
Choose 2 answers",A. Change the lead Hatching Rule to Block on create.,B. Change OWD for Leads to Public Read.,C. Change the Lead Duplicate Rule details to Bypass Sharing Rules.,,,,"A,C","A: Changing the Lead Matching Rule to 'Block on create' will directly prevent duplicates at the
point of lead creation based on defined criteria.
C: Changing the Lead Duplicate Rule to 'Bypass Sharing Rules' allows the system to
compare leads across the entire organization regardless of the user's access level, which is
crucial especially when OWD is set to 'Private'.
References:
Salesforce Help - Duplicate Management"
QUESTION NO: 69,"The sales team receives a list of approximately 800 leads each morning from the marketing
team. The marketing team does not know if any of the leads are currently in the pipeline and
sends the entire list each morning.
Which tool should be used to import these leads into Salesforce while preventing the
duplicates from being inserted?",A. Dataloaderio,B. Data Import Wizard,C. Data Loader,,,,B,"To import leads while preventing duplicates:
B . Data Import Wizard is the appropriate tool. The Data Import Wizard in Salesforce includes
functionality to check for duplicates based on matching records by certain criteria (like email
or lead ID) during the import process, thus preventing duplicate lead records from being
created.
More details on using the Data Import Wizard can be found in the Salesforce Data Import
Wizard guide."
QUESTION NO: 70,"Universal Containers' app builder has been tasked with replacing workflow rules and Apex
triggers with Process Builders where possible.
What are two important considerations an app builder should know before the project is
started?
Choose 2 answers",A. Avoid generating infinite loops.,B. Apex has a different SOQL query limit than Flow.,C. Create a process for each workflow rule.,,,,"A,D","Before replacing workflow rules and Apex triggers with Process Builders, the app builder
should consider avoiding generating infinite loops and combining actions when possible.
Infinite loops can occur when a process updates a record that causes another process to run
on the same record, and so on. Combining actions can reduce the number of processes and
improve performance and maintainability"
QUESTION NO: 71,"An app builder would like to streamline the user experience by reflecting summarized
calculations of specific fields on various objects. Which field types could be used in roll-up
summary fields to accomplish this? Choose 3 answers",A. Currency,B. Percent,C. Date,D. Checkbox,,,"A,B,D","Roll-up summary fields can only be created on master-detail relationships, and they can only
calculate numeric fields, such as currency, percent, and number. Date and time fields are not
supported for roll-up summary fields. Checkbox fields can be used in roll-up summary filters,
but not in the field to aggregate"
QUESTION NO: 72,"DreamHouse Realty wa nts to import its property records from an external system into
Salesforce. The app builder will use an external ID field to house the property ID from the
external system.
Which two details should the app builder know when using external ID fields?
Choose 2 answers",A. An external ID field can be a number field.,B. An external ID field can be a URL field.,C. An external ID field can be a phone field.,,,,"A,D","An external ID field can be a number field or a text field, but not a URL field or a phone field.
A URL field is used to store web addresses and a phone field is used to store phone
numbers. An external ID field is used to store unique identifiers from an external system and
it can be used for upsert operations"
QUESTION NO: 73,"Ann app builder has been to display an overdue date that is two months after a tasks due
date. Which approach should the app builder take?",A. Use process builder and set overdue date equal to Due Date + ((365/12)*2),B. Create a formula field using Due Date + 60,C. Use process builder and set overdue Date equal to Due Date + 60,,,,D,"The best way to calculate an overdue date that is two months after a task due date is to use
a formula field with the ADDMONTHS() function. This function adds a specified number of
months to a date value, and returns a new date value. See [this article] for more information
on formula fields."
QUESTION NO: 74,"Universal Containers asked the app builder to ensure when an account type changes to
'Past-Customer' the contacts directly related to that account get an updated status of 'Re-
Market'.
Which automation should the app builder use to accomplish this task?",A. Screen flow,B. Lightning component,C. Validation rule,,,,D,"For automatically updating contact statuses when an account type changes:
D . Record triggered flow. This type of automation can monitor changes in account types and
accordingly update related records, such as contacts.
Steps to implement:
Navigate to Setup → Flows.
Create a new Flow and choose the record-triggered flow type.
Configure the flow to trigger when the Account record is updated to 'Past-Customer'.
Add an Update Records element to modify all related contacts, setting their status to 'Re-
Market'.
Activate the flow.
This automation ensures that contact statuses are updated in real-time when their related
account's type changes, maintaining data consistency and relevancy.
For more on record-triggered flows, check out Salesforce's Record-Triggered Flows
documentation."
QUESTION NO: 75,"Universal Containers (UC) tracks Account locations in Zip Code, a custom text field with a
validation rule to enforce proper formatting of the US ZIP+4 code for UC's orders.
What formula should the app builder create on Order to display only the first five digits of Zip
Code from the parent Account?","A. BEGINS(Account.Zip_Code_r, 5)","B. TEXT(Account.Zip_Code_c, 5)","C. LEFT(Account.Zip_Code_c, 5)",,,,C,"LEFT(Account.Zip_Code_c, 5) is the correct formula to display only the first five digits of Zip
Code from the parent Account. LEFT function returns the specified number of characters
from the left side of a text string. Account.Zip_Code_c is the custom text field that stores the
Zip Code on Account object. 5 is the number of characters to return from the left side of the
Zip Code. The other options are not valid formulas or functions."
QUESTION NO: 76,"The marketing team at UVC has a list of 400 leads it wants to upload to Salesforce. The team
need to avoid creating duplicate records. Which two actions should be taken to meet this
requirement? Choose 2 answers",A. Utilize a Lead Matching Rule and corresponding Duplicate Rule to block newly created duplicate leads.,B. Upload the lead list using the import wizard and select a Matching type to prevent duplicate lead creation.,C. Use Data Loader's update function to import lead and match to existing records based on e-mail address.,,,,"A,B","The best actions to take to avoid creating duplicate leads when uploading a list of 400 leads
are to utilize a Lead Matching Rule and corresponding Duplicate Rule to block newly created
duplicate leads, and to upload the lead list using the import wizard and select a Matching
type to prevent duplicate lead creation. The Lead Matching Rule defines the criteria for
identifying duplicate leads, and the Duplicate Rule defines the actions to take when a
duplicate is detected. The import wizard allows users to choose a Matching type based on
the Lead Matching Rule and block or allow duplicates. Using Data Loader's update function
or enabling Duplicate Matching in the Data Management section will not prevent duplicate
lead creation."
QUESTION NO: 77,"Universal Containers has a new custom object for Invoices that includes an Invoice Number
field, Before the Invoice object can be used, invoices will be migrated from an external
system maintaining their current Invoice Number. After the migration, salesforce will be the
system of record and each new Invoice created in Salesforce must have a unique Invoice
Number.
How should the app builder configure the Invoice Number field?",A. Create a Text filed for the original Invoice Number and an AutoNumber field for the Salesforce Invoice Number.,B. Create a Text field and mark it as a unique external ID field.,"C. Create a Text field, then change it to AutoNumber after the migration.",,,,B,"The Invoice Number field should be a Text field and marked as a unique external ID field.
This will allow the migration of invoices from an external system while maintaining their
original Invoice Number. It will also ensure that each new Invoice created in Salesforce has a
unique Invoice Number."
QUESTION NO: 78,"Cloud Kicks wants to display the number of opportunities that are Closed Won with a Close
Date within the last year on the Account detail page.
Which tool should an app builder use to implement this?",A. Process Builder,B. Activity Timeline,C. Roll-Up Summary Field,,,,C,"A roll-up summary field is a field that calculates values from related records. A roll-up
summary field can be used to display the number of opportunities that are closed won with a
close date within the last year on the account detail page by using a filter criteria on the field."
QUESTION NO: 79,"AW Computing uses a private sharing model for opportunities. Whenever
an opportunity with a type of Service Agreement is created, all users in the Service Manager
role should be able to view the opportunity.
Which tool should AW Computing use to accomplish this?",A. Owner-based sharing rules,B. Criteria-based sharing rules,C. Apex sharing rules,,,,B,"Criteria-based sharing rules are the best tool to use for automatically sharing records based
on specific criteria, such as the opportunity type being ""Service Agreement."" This rule can
share opportunities with all users in a particular role, such as the Service Manager role, when
the criteria are met, thereby adhering to the private sharing model while still providing
necessary access.
A: Owner-based sharing rules focus on the record owner's role or group, not the record type.
C: Apex sharing is used for more complex scenarios not easily handled by declarative
sharing settings.
D: Manual sharing is not scalable or automatic.
Reference: Using Criteria-Based Sharing Rules on Salesforce Help"
QUESTION NO: 80,"Cloud Kicks (CK) tracks the support level of its customers on the account record page. CK
wants to show a text notification on a case record page when the related account is a
platinum-level customer.
How could an app builder meet this requirement?",A. Add a rich text area to the Case Lighting page > Set the component visibility of the rich text area to show when the account support level is platinum.,B. Create a text-only Visualforce page > Drag the Visualforce component into the Case page layout > Set its visibility to show when the account support level is platinum.,"C. Create a text-only Visualforce page > Clone the case page layout > Drag the Visualforce component into the page, and assign the layout to platinum cases.",,,,B,"A text-only Visualforce page can be used to show a text notification on a case record page
based on a condition. The Visualforce component can be dragged into the Case Lightning
page and its visibility can be set to show when the account support level is platinum. This is
the simplest and most flexible way to meet the requirement"
QUESTION NO: 81,"The DreamHouse Realty (DR) service manager has asked for some improvements in case
management to enforce process compliance so that cases are unable to be reverted to an
earlier case status, and to ensure that certain fields are required when specific case criteria
are met.
What solution should an app builder implement to meet these requirements?",A. Workflow Rules,B. Process Builder,C. A Validation Rules,,,,C,"A validation rule can enforce process compliance by preventing users from saving records
that do not meet certain criteria. In this case, a validation rule can prevent users from
reverting to an earlier case status or leaving certain fields blank when specific case criteria
are met"
QUESTION NO: 82,"Universal Containers would like to automatically assign a specific permission set to new
users. How can this requirement bemet? Choose 2 Answers",A. Create an approval process on the User object to assign a permission set,B. Create a flow on the user object to assign a permission set.,C. Create a lightning process on the user object to launch a flow.,,,,"B,C","A flow or a process can be used to assign a permission set to new users. A flow can be
triggered by a record change or an invocable action, while a process can launch a flow as an
immediate or scheduled action"
QUESTION NO: 83,"Universal Containers uses a private sharing model for opportunities. This model CANNOT be
changed due to a regional structure A new sales operations team has been created. This
team needs to perform analysis on Opportunity data, all should have read arid write access
to all Opportunities.
What are two recommended solutions for the app builder to give the users appropriate
access? Choose 2 answers",A. Create a criteria-based sharing rule to all opportunities with the sales operations public group.,B. Add a manual share for all opportunities with each user on the sales operations team.,"C. Add a permission set with 'View All"" and 'Modify All'' opportunity permissions enabled.",,,,"A,C","The two recommended solutions for the app builder to give the users appropriate access are
creating a criteria based sharing rule to all opportunities with the sales operations public
group and adding a permission set with 'View All"" and 'Modify All'' opportunity permissions
enabled. A criteria based sharing rule can grant read and write access to all opportunities
that meet certain criteria to a specified group of users. A permission set can grant additional
object-level permissions to users without changing their profiles. Option B is incorrect
because adding a manual share for all opportunities with each user on the sales operations
team is not scalable or maintainable. Option D is incorrect because creating a criteria-based
sharing rule to share all opportunities with the sales operations private group is redundant, as
private groups are used to manually share records with individual users or other groups."
QUESTION NO: 84,"Universal Containers has a single Contact Lightning record page. A component takes up a lot
of room on the page and is NOT needed by users with a Marketing profile.
What should the app builder use to solve this Issue?",A. Detail page layouts,B. Component visibility filter,C. Field-level security,,,,B,"The feature that the app builder should use to solve this issue is component visibility filter. A
component visibility filter is a setting that can be applied to a Lightning component on a
record page to control when the component is hidden or displayed based on certain
conditions. The app builder can use a component visibility filter to hide the component from
users with a Marketing profile. Option A is incorrect because detail page layouts are not
related to Lightning components, but rather the fields and related lists that appear on record
detail pages. Option C is incorrect because field-level security is not related to Lightning
components, but rather the access level of fields for different profiles or permission sets.
Option D is incorrect because AppExchange is not related to Lightning components, but
rather an online marketplace where users can find and install apps and components."
QUESTION NO: 85,"An app builder at Cloud Kicks created accustom object and related fields in the schema
builder.
What next steps should the app build take to ensure users can access the new object and
fields?",A. Create a permission set for access to the object and fields.,B. Allow reporting for the object and fields.,C. Assign data types to the fields on the object.,,,,D,"The app builder should add the fields to the page layout on the object to ensure users can
access the new object and fields. The page layout determines which fields are visible and
editable on the record detail page. Option A, B, and C are not necessary for this purpose."
QUESTION NO: 86,"Which three standard component types are available in the Lightning App Builder?
Choose 3 answers",A. Plain text,B. Rich text,C. Filter list,D. Report details,,,"B,D,E","In the Lightning App Builder, the following standard components can be used to enhance the
functionality of Lightning pages:
B . Rich text: Allows the inclusion of formatted text, links, and images on a page.
D . Report details: Enables embedding of specific report details directly on a page.
E . Recent items: Displays a list of recently accessed items relevant to the user.
Steps to add these components:
Open the Lightning App Builder via Setup → Edit Page or when creating a new Lightning
page.
Drag and drop the Rich text, Report details, and Recent items components from the standard
components section onto the page layout.
Configure each component as needed (e.g., selecting a specific report for the Report details
component).
For more on using these components, refer to Salesforce's guide on Standard Lightning
Components."
QUESTION NO: 87,"Northern Trail Outfitters has two custom objects that are part of a master-detail relationship.
What determines the ownership and sharing access of the detail record?",A. The default owner is set in the parent object's settings.,B. The Owner field on the Detail record.,C. The Owner field on the Master record.,,,,C,"The Owner field on the Master record determines the ownership and sharing access of the
detail record in a master-detail relationship. According to the Salesforce documentation, ""The
detail record inherits the sharing and security settings of its master record."" The default
owner is not set in the parent object's settings, the Owner field on the Detail record does not
exist, and the owner is not set independently on the detail object's settings."
QUESTION NO: 88,"The app builder at AW Computing has been asked to track the number of times a case has
been reopened.
Which solution should the app builder utilize to help with this request?",A. Scheduled Triggered flow,B. Screw flow,C. Process Builder,,,,A,"A Scheduled Triggered flow can be used to increment a custom field on the Case object each
time the case is reopened, effectively tracking the number of reopenings.
References:
Salesforce Help - Scheduled Flows"
QUESTION NO: 89,"What option is available to an App Builder when defining an object-specific Create Record
custom action? Choose 2 answers",A. Pre-Defining field values on the target object.,B. Redirecting the end user to the detail page of the target object,C. Specifying the fields and layout of the action.,,,,"A,C","The app builder has two options available when defining an object-specific Create Record
custom action:
Pre-Defining field values on the target object. This means that the app builder can specify
default values for certain fields on the target object when creating a new record using the
custom action.
Specifying the fields and layout of the action. This means that the app builder can choose
which fields to include in the action and how they are arranged on the screen. Option B and
D are not options available when defining an object-specific Create Record custom action."
QUESTION NO: 90,"An app builder is creating a custom object called Testimonial__c and wants toconnect
Testimonial__c records with both the submitter's Contact record and Account record. If the
Account is deleted, the Testimonial__c should also be deleted. If the Contact is deleted, but
the Account remains, the Testimonial__c should remain.
How should this be accomplished?",A. Make both the Contact and Account fields required on the Testimonial__c object and create lookup relationships fromTestimonial__c to Contact and to Account.,B. Create a master-detail relationship from Testimonial__c to Accountand a lookup relationship from Testimonial__c to Contact.,C. Make Testimonial__c a junction object between Account and Contact using master-detail relationships.,,,,B,"To connect Testimonial__c records with both the submitter's Contact record and Account
record, an app builder should create a master-detail relationship from Testimonial__c to
Account and a lookup relationship from Testimonial__c to Contact. A master-detail
relationship creates a parent-child relationship between two objects and allows for roll-up
summary fields, sharing settings, and cascading actions. A lookup relationship creates a
loose association between two objects and allows users to relate records from one object to
another. Source"
QUESTION NO: 91,"Ursa Major Solar's service department gets requests for several types of services, such as
installation, repair, and maintenance. Service managers need to be able to tell when
maintenance was last done on on asset to help determine If they are meeting contract
agreements, but the last maintenance date can be difficult to determine when there are many
work orders related to the asset. They think it would be helpful to have a field auto-populated
on the Asset record when a maintenance work order gets closed.
What tool should an app builder recommend to help meet this requirement?",A. Visualforce,B. Roll-up Summary,C. Apex Trigger,,,,D,"A flow is an application that automates a business process by collecting data and performing
operations in your org or an external system. Flows can also manipulate data in your org by
creating, updating, deleting, or submitting records for approval. You can use flows to update
fields on related records when a certain event occurs, such as closing a work order. In this
case, a flow can be used to update the last maintenance date field on the Asset record when
a maintenance work order gets closed."
QUESTION NO: 92,"After a deal is closed, Cloud Kicks (CK) wants to assign a user as a customer service
manager (CSM) in addition to the account owner and would like a new field to easily track
and report which CSM is assigned to the Account.
Which solution should an app builder use for this request?",A. Multi-select picklist Meld,B. Picklist field,C. Lookup field,,,,C,"The solution that an app builder should use for this request is a lookup field. A lookup field is
a type of relationship field that links two objects together and allows users to select a record
from another object. The app builder can create a lookup field on the account object that
references the user object and allows users to assign a customer service manager (CSM) to
the account. Option A is incorrect because a multi-select picklist field is not suitable for this
request, as multi-select picklist fields allow users to select multiple values from a predefined
list, not from another object. Option B is incorrect because a picklist field is not suitable for
this request, as picklist fields allow users to select one value from a predefined list, not from
another object. Option D is incorrect because a text field is not suitable for this request, as
text fields allow users to enter any alphanumeric characters, not from another object."
QUESTION NO: 93,"Cloud Kicks works on an annual subscription model. When a sale rep marks an opportunity
as closed won, a new opportunity should automatically be created for the renewal. The
contracts team works outside of salesforce but also needs to be notified about closed deals
in order to initial the contract process with the customer.
Which automation solution would meet these requirements?",A. Approval Process,B. Outbound Message,C. Validation Rule,,,,D,"A record-triggered flow can be used to automate actions when a record is created or
updated. In this case, a record-triggered flow can be configured to create a new opportunity
and send an email to the contracts team when an opportunity is marked as closed won."
QUESTION NO: 94,"A Service Coordinator (SC) for Ursa Major Solar (UMS) does a final review of work orders
owned by a technician for a specific region before the records are submitted for an invoice.
Beforeclosing out the work order, the SC needs to modify data or remove attachments that
were added by mistake. The SC also needs access to any other related records owned by
the technician.
What solution would provide the required access, given a private data model?",A. Give the SC a permission set with the Modify All Data system permission.,B. Put the SC in the role hierarchy above the technicians whose work orders they review.,C. Create a workflow rule that updates records owned by technicians in that regionwith the SC.,,,,B,"Putting the SC in the role hierarchy above the technicians whose work orders they review will
provide the required access, given a private data model. The role hierarchy determines how
users can access records they do not own. Users at any given role level can view, edit, and
report on all data owned by or shared with users below them in the role hierarchy."
QUESTION NO: 95,"An app builder has created a new report type but users are unable to select it from the
Report Type list when making a new report for records they own.
What could be causing this issue?",A. Access to the necessary object is unavailable.,B. The report type is in a status of Deployed.,C. Access to Create and Customize Reports is disabled.,,,,D,"A report type that is in a status of In Development is not available for users to select when
creating a new report. The app builder needs to change the status to Deployed to make it
visible to users"
QUESTION NO: 96,"Ursa Major Solar wants to see the Type field from the parent object Galaxy listed on the child
recordStar. The app builder is receiving an error stating ""Picklist values are only supported in
certain functions"".
What formula should an app builder use to achieve the desired result?",A. ISPICKVAL(Galaxy__r.Type__c),B. VALUE(Galaxy_r.Type__c),C. TEXT(Galaxy_r.Type_c),,,,C,"TEXT() is a formula function that converts a picklist value to text. This can be used to display
the Type field from the parent object Galaxy on the child record Star. ISPICKVAL() is used to
check if a picklist value is equal to a specified value. VALUE() is used to convert text that
represents a number to a number. FIND() is used to locate one text string within another text
string."
QUESTION NO: 97,"Ursa Major Solar wants to create a relationship between the standard Contact object and a
custom Solar Project object Contacts potentially be related to multiple Solar Project objects,
and a Solar Project can have multiple Contacts associated with it.
How should an app builder configure the data model?",A. One Master-detail relationship on Conduct and one Master-detail relationship on Solar Project,B. Two Lookup relationships on a new custom object,C. One Lookup relationship on Contact and one Lookup relationship on Solar Project,,,,C,"Two Master-detail relationships on a new custom object is how an app builder should
configure the data model to create a relationship between Contact and Solar Project objects
where each Contact can be related to multiple Solar Project objects, and each Solar Project
can have multiple Contacts associated with it. This is an example of a many-to-many
relationship that requires a junction object with two master-detail relationships. One Master-
detail relationship on Contact and one Master-detail relationship on Solar Project, two Lookup
relationships on a new custom object, and one Lookup relationship on Contact and one
Lookup relationship on Solar Project are not valid or correct ways to create a many-to-many
relationship."
QUESTION NO: 98,"Ursa Major Solar has a lookup relationship between a custom Galaxy _c object and a custom
Star_c object. An app builder wants to create a roll-up summary field that counts the total
number of Star_c records related to each Galaxy__c record.
How would the current configuration impact the ability to achieve the desired result?",A. The roll-up summary can be achieved by creating a formula field on the Galaxy__c object.,B. The lookup relationship will need to be converted to a master-detail relationship before a roll-up summary field can be created.,C. The roll-up summary can be achieved by creating a formula field on the Star__c object.,,,,B,"The lookup relationship will need to be converted to a master-detail relationship before a roll-
up summary field can be created. This is correct because roll-up summary fields are only
available on the master object in a master-detail relationship, and a lookup relationship does
not establish a parent-child hierarchy between the objects"
QUESTION NO: 99,"Universal Containers (UC) maintains information for over 2 million assets in an external
system. UC needs to access these assets in real-time data in Salesforce and is nearing the
data storage limits.
What feature could an app builder recommend UC use?",A. Data Loader,B. Salesforce Connect,C. Salesforce to Salesforce,,,,B,"The app builder should recommend UC use Salesforce Connect to access the assets in real-
time data in Salesforce. Salesforce Connect is a feature that allows users to view, search,
and modify data that is stored outside Salesforce, such as in an external system. Salesforce
Connect uses external objects and external data sources to integrate data from various
sources without copying or synchronizing it2. This can help UC access their assets in real-
time without consuming data storage limits in Salesforce. Option A, C, and D are not features
that can meet this requirement."
QUESTION NO: 100,"The developer at Universal Containers wants to test code in a sandbox environment. In order
to ensure the code works properly, the sandbox needs to have at least half a gigabyte of dat
a. The sandbox will need to be refreshed after each three-day sprint.
What type of sandbox should the App Builder provision to the developer?",A. Developer,B. Full Copy,C. Developer Pro,,,,D,"The app builder should provision a Partial Data sandbox to the developer. A Partial Data
sandbox can have up to 5 GB of data, which meets the requirement of having at least half a
gigabyte of data. A Partial Data sandbox can also be refreshed every 5 days, which meets
the requirement of refreshing after each three-day sprint. Option A is incorrect because a
Developer sandbox can only have up to 200 MB of data, which does not meet the
requirement. Option B is incorrect because a Full Copy sandbox can only be refreshed every
29 days, which does not meet the requirement. Option C is incorrect because a Developer
Pro sandbox can only have up to 1 GB of data, which may not be enough for the
requirement."
